Company	Company Domain	Final Domain	City	Manufacturing_Propensity
Fix Schwarz	fix-schwarz.de		Hattingen	High
Battenfeld-Cincinnati	battenfeld-cincinnati.com		Bad Oeynhausen	Medium
Prieß, Horstmann & Co. Maschinenbau GmbH & Co. KG	priess-horstmann.de	priess-horstmann.com	Oberlübbe	High
Landgrafen GmbH & Co. KG	landgrafen-cnc.de		Mönchengladbach	High
Nolting Verwaltungs	nolting-moebelmanufaktur.de		Löhne	Medium
Fleissner	fleissner.de	truetzschler.com	Dülmen	Medium
F.m.b Industrie	vindpust.de	fmb-industries.de	Velbert	High
Becker Sonder-Maschinenbau	becker-sondermaschinenbau.de	kraft-group.com	Langenberg	High
Heinrich Wenner OHG	heinrich-wenner.de	wenner-metall.de	Hiddenhausen	High
Henneken	henneken-tumbler.de	henneken-tumbler.de	Bad Wünnenberg	High
D&L Robotik	dl-robotik.com	discher-aut.de	Bad Wünnenberg	High
Brinkmann Pumpen K H Brinkmann	brinkmann-pumpen.de	brinkmannpumps.de	Werdohl	Medium
Bomar Saws	bomar.cz	acc1.cz	Witten	High
Burg-Wächter Kg	burg.biz		Wetter Ruhr	High
Marquis	marquis-gmbh.de		Witten	High
Mauer	mauer-gmbh.de	dormakaba.com	Heiligenhaus	High
Pfeiffer Chemie Armaturenbau	pfeiffer-armaturen.com	samsongroup.com	Kempen	High
Zweite Haut	zweite-haut.com		Dusseldorf	High
Engineered Fiber Solutions	efs-faser.de		Hamm	High
Osthoff-Senge GmbH & Co. KG	osthoff-senge.com		Wuppertal	High
PMR Tech	pmr-tech.de		Bochum	High
Captain's Barber Shop	captainsbarbershop.de		Dusseldorf	High
Becorit	becorit.de	wabteccorp.com	Recklinghausen	High
Plümat Maschinenbau Vertriebs	pluemat.de	pluemat.info	Espelkamp	High
Fawema	fawema.com		Engelskirchen	High
Kothmann-Consulting	kothmann-consulting.de	logistik-consultants.de	Mülheim an Der Ruhr	Medium
Fermacell	fermacell.de		Duisburg	Medium
Promat	promat.de	promat.com	Ratingen	Medium
ABCosmetics	abcosmetics.net	abcosmetics.de	Bielefeld	High
Thehomestory	thehomestory.de		Dusseldorf	High
